"Idade","Local de trabalho","Pontuação teste","Departmento","Distancia casa-trabalho","Educacao","Area","Possui carro","Subordinado","Satisfação com o ambiente no emprego atual","Genero","Horas voluntariado","Envolvimento com trabalho","Posicao","Cargo","Satisfação com emprego","Estado civil","Renda","Bonus de performance","Quantidade de empresas que trabalho","Maior de idade","Necessita de hora extra","Aumento de salario%","Performance na entrevista","Satisfação com a relação","Horas de trabalho padrão","Beneficios","Anos de experiencia","Horas de treinamento ultimo ano","Estilo de vida","Anos na última empresa","Anos na posição atual","Anos desde última promoção","Anos com a mesma gerência","Contratar","Partition","$XGT-Contratar","$XGTC-Contratar"
"44","Misto","1459","Engenharia","10","Superior incompleto - cursando","Outros","1","40","4","M","41","3","2","Analista","4","Casado","6465","19121","2","1","Sim","13","3","4","80","0","9","5","4","4","2","1","3","Não","1_Training","Não","0.515579"
"30","Misto","125","Engenharia","9","Superior incompleto","Medicina","1","41","4","M","83","2","1","Tecnico","3","Solteiro","2206","16117","1","1","Não","13","3","1","80","0","10","5","3","10","0","1","8","Não","2_Testing","Sim","0.610823"
"43","Misto","1273","Engenharia","2","Superior incompleto","Medicina","1","46","4","F","72","4","1","Engenheiro","3","Divorciado","2645","21923","1","1","Não","12","3","4","80","2","6","3","2","5","3","1","4","Não","2_Testing","Não","0.860145"
"35","Misto","890","Vendas","2","Superior completo","Marketing","1","49","4","F","97","3","1","Vendedor junior","4","Casado","2014","9687","1","1","Não","13","3","1","80","0","2","3","3","2","2","2","2","Não","1_Training","Sim","0.713964"
"36","Cliente","852","Engenharia","5","Superior incompleto - cursando","Ciências das natureza","1","51","2","F","82","2","1","Engenheiro","1","Casado","3419","13072","9","1","Sim","14","3","4","80","1","6","3","4","1","1","0","0","Não","1_Training","Sim","0.752198"
"33","Misto","1141","Vendas","1","Superior completo","Ciências das natureza","1","52","3","F","42","4","2","Vendedo senior","1","Casado","5376","3193","2","1","Não","19","3","1","80","2","10","3","3","5","3","1","3","Não","1_Training","Não","0.80976"
"35","Misto","464","Engenharia","4","Superior incompleto","Outros","1","53","3","M","75","3","1","Tecnico","4","Divorciado","1951","10910","1","1","Não","12","3","3","80","1","1","3","3","1","0","0","0","Não","1_Training","Sim","0.507794"
"27","Cliente","1240","Engenharia","2","Superior incompleto - cursando","Ciências das natureza","1","54","4","F","33","3","1","Tecnico","1","Divorciado","2341","19715","1","1","Não","13","3","4","80","1","1","6","3","1","0","0","0","Não","1_Training","Sim","0.564084"
"27","Cliente","994","Vendas","8","Superior completo","Ciências das natureza","1","56","4","M","37","3","3","Vendedo senior","3","Solteiro","8726","2975","1","1","Não","15","3","4","80","0","9","0","3","9","8","1","7","Não","1_Training","Sim","0.51674"
"30","Escritório","721","Engenharia","1","Superior incompleto","Medicina","1","57","3","F","58","3","2","Tecnico","4","Solteiro","4011","10781","1","1","Não","23","4","4","80","0","12","2","3","12","8","3","7","Não","2_Testing","Não","0.861722"
"34","Misto","1065","Vendas","23","Superior incompleto - cursando","Marketing","1","60","2","M","72","3","2","Vendedo senior","3","Solteiro","4568","10034","0","1","Não","20","4","3","80","0","10","2","3","9","5","8","7","Não","2_Testing","Não","0.511363"
"37","Cliente","408","Engenharia","19","Superior incompleto","Ciências das natureza","1","61","2","M","73","3","1","Engenheiro","2","Casado","3022","10227","4","1","Não","21","4","1","80","0","8","1","3","1","0","0","0","Não","1_Training","Sim","0.639995"
"46","Misto","1211","Vendas","5","Superior incompleto - cursando","Marketing","1","62","1","M","98","3","2","Vendedo senior","4","Solteiro","5772","20445","4","1","Sim","21","4","3","80","0","14","4","3","9","6","0","8","Não","1_Training","Sim","0.767052"
"35","Misto","1229","Engenharia","8","Médio completo","Ciências das natureza","1","63","4","M","36","4","1","Tecnico","4","Casado","2269","4892","1","1","Não","19","3","4","80","0","1","2","3","1","0","0","1","Não","2_Testing","Não","0.671724"
"44","Escritório","1488","Vendas","1","Pós-gradução","Marketing","1","68","2","F","75","3","2","Vendedo senior","1","Divorciado","5454","4009","5","1","Sim","21","4","3","80","1","9","2","2","4","3","1","3","Não","1_Training","Não","0.601624"
"35","Misto","1097","Engenharia","11","Superior incompleto","Medicina","1","70","3","M","79","2","3","Analista","1","Casado","9884","8302","2","1","Sim","13","3","3","80","1","10","3","3","4","0","2","3","Não","1_Training","Sim","0.653863"
"26","Cliente","1443","Vendas","23","Superior completo","Marketing","1","72","3","F","47","2","2","Vendedo senior","4","Casado","4157","21436","7","1","Sim","19","3","3","80","1","5","2","2","2","2","0","0","Não","1_Training","Sim","0.828192"
"33","Cliente","515","Engenharia","1","Superior incompleto","Ciências das natureza","1","73","1","F","98","3","3","Diretor","4","Solteiro","13458","15146","1","1","Sim","12","3","3","80","0","15","1","3","15","14","8","12","Não","2_Testing","Sim","0.786349"
"35","Misto","853","Vendas","18","Pós-gradução","Ciências das natureza","1","74","2","M","71","3","3","Vendedo senior","1","Casado","9069","11031","1","1","Não","22","4","4","80","1","9","3","2","9","8","1","8","Não","1_Training","Não","0.766166"
"35","Misto","1142","Engenharia","23","Superior incompleto - cursando","Medicina","1","75","3","F","30","3","1","Tecnico","1","Casado","4014","16002","3","1","Sim","15","3","3","80","1","4","3","3","2","2","2","2","Não","1_Training","Sim","0.624451"
"31","Misto","655","Engenharia","7","Superior incompleto - cursando","Ciências das natureza","1","76","4","M","48","3","2","Tecnico","4","Divorciado","5915","9528","3","1","Não","22","4","4","80","1","10","3","2","7","7","1","7","Não","2_Testing","Não","0.86642"
"37","Misto","1115","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","1","77","1","M","51","2","2","Supervisor","3","Divorciado","5993","2689","1","1","Não","18","3","3","80","1","7","2","4","7","5","0","7","Não","1_Training","Não","0.903327"
"32","Cliente","427","Engenharia","1","Superior completo","Medicina","1","78","1","M","33","3","2","Supervisor","4","Casado","6162","10877","1","1","Sim","22","4","2","80","1","9","3","3","9","8","7","8","Não","2_Testing","Sim","0.57129"
"38","Misto","653","Engenharia","29","Pós-gradução","Ciências das natureza","1","79","4","F","50","3","2","Tecnico","4","Solteiro","2406","5456","1","1","Não","11","3","4","80","0","10","2","3","10","3","9","9","Não","2_Testing","Não","0.504221"
"50","Misto","989","Engenharia","7","Superior incompleto","Medicina","1","80","2","F","43","2","5","Diretor","3","Divorciado","18740","16701","5","1","Sim","12","3","4","80","1","29","2","2","27","3","13","8","Não","1_Training","Não","0.683112"
"59","Misto","1435","Vendas","25","Superior completo","Ciências das natureza","1","81","1","F","99","3","3","Vendedo senior","1","Solteiro","7637","2354","7","1","Não","11","3","4","80","0","28","3","2","21","16","7","9","Não","1_Training","Sim","0.526375"
"36","Misto","1223","Engenharia","8","Superior completo","Faculdade Técnica","1","83","3","F","59","3","3","Analista","3","Divorciado","10096","8202","1","1","Não","13","3","2","80","3","17","2","3","17","14","12","8","Não","2_Testing","Não","0.671747"
"55","Cliente","836","Engenharia","8","Superior completo","Medicina","1","84","4","F","33","3","4","Gerente","3","Divorciado","14756","19730","2","1","Sim","14","3","3","80","3","21","2","3","5","0","0","2","Não","1_Training","Não","0.647782"
"36","Misto","1195","Engenharia","11","Superior completo","Ciências das natureza","1","85","2","M","95","2","2","Supervisor","2","Solteiro","6499","22656","1","1","Não","13","3","3","80","0","6","3","3","6","5","0","3","Não","1_Training","Não","0.699879"
"45","Cliente","1339","Engenharia","7","Superior completo","Ciências das natureza","1","86","2","M","59","3","3","Engenheiro","1","Divorciado","9724","18787","2","1","Não","17","3","3","80","1","25","2","3","1","0","0","0","Não","1_Training","Não","0.571703"
"35","Cliente","664","Engenharia","1","Superior completo","Medicina","1","88","2","M","79","3","1","Engenheiro","1","Casado","2194","5868","4","1","Não","13","3","4","80","1","5","2","2","3","2","1","2","Não","2_Testing","Não","0.66204"
"59","Misto","1225","Vendas","1","Médio completo","Ciências das natureza","1","91","1","F","57","2","2","Vendedo senior","3","Solteiro","5473","24668","7","1","Não","11","3","4","80","0","20","2","2","4","3","1","3","Não","1_Training","Não","0.648212"
"29","Misto","1328","Engenharia","2","Superior completo","Ciências das natureza","1","94","3","M","76","3","1","Engenheiro","2","Casado","2703","4956","0","1","Não","23","4","4","80","1","6","3","3","5","4","0","4","Não","1_Training","Não","0.824683"
"31","Misto","1082","Engenharia","1","Superior incompleto - cursando","Medicina","1","95","3","M","87","3","1","Engenheiro","2","Solteiro","2501","18775","1","1","Não","17","3","2","80","0","1","4","3","1","1","1","0","Não","1_Training","Sim","0.764598"
"32","Misto","548","Engenharia","1","Superior completo","Ciências das natureza","1","96","2","M","66","3","2","Engenheiro","2","Casado","6220","7346","1","1","Não","17","3","2","80","2","10","3","3","10","4","0","9","Não","2_Testing","Não","0.831951"
"36","Misto","132","Engenharia","6","Superior completo","Ciências das natureza","1","97","2","F","55","4","1","Tecnico","4","Casado","3038","22002","3","1","Não","12","3","2","80","0","5","3","3","1","0","0","0","Não","2_Testing","Não","0.719509"
"31","Misto","746","Engenharia","8","Superior incompleto - cursando","Ciências das natureza","1","98","3","F","61","3","2","Supervisor","4","Solteiro","4424","20682","1","1","Não","23","4","4","80","0","11","2","3","11","7","1","8","Não","1_Training","Não","0.780433"
"35","Misto","776","Vendas","1","Superior incompleto - cursando","Marketing","1","100","3","M","32","2","2","Vendedo senior","1","Solteiro","4312","23016","0","1","Não","14","3","2","80","0","16","2","3","15","13","2","8","Não","2_Testing","Não","0.620886"
"45","Misto","193","Engenharia","6","Superior incompleto - cursando","Outros","1","101","4","M","52","3","3","Diretor","1","Casado","13245","15067","4","1","Sim","14","3","2","80","0","17","3","4","0","0","0","0","Não","1_Training","Sim","0.668491"
"37","Misto","397","Engenharia","7","Superior incompleto - cursando","Medicina","1","102","1","M","30","3","3","Diretor","3","Solteiro","13664","25258","4","1","Não","13","3","1","80","0","16","3","4","5","2","0","2","Não","1_Training","Não","0.635382"
"46","Misto","945","RH","5","Superior incompleto","Medicina","1","103","2","M","80","3","2","Assistente","2","Divorciado","5021","10425","8","1","Sim","22","4","4","80","1","16","2","3","4","2","0","2","Não","1_Training","Não","0.664266"
"30","Misto","852","Engenharia","1","Médio completo","Ciências das natureza","1","104","4","M","55","2","2","Tecnico","4","Casado","5126","15998","1","1","Sim","12","3","3","80","2","10","1","2","10","8","3","0","Não","1_Training","Sim","0.578319"
"35","Misto","1214","Engenharia","1","Superior completo","Medicina","1","105","2","M","30","2","1","Engenheiro","3","Solteiro","2859","26278","1","1","Não","18","3","1","80","0","6","3","3","6","4","0","4","Não","1_Training","Não","0.72234"
"55","Escritório","111","Vendas","1","Superior incompleto","Ciências das natureza","1","106","1","M","70","3","3","Vendedo senior","4","Casado","10239","18092","3","1","Não","14","3","4","80","1","24","4","3","1","0","1","0","Não","2_Testing","Não","0.531282"
"38","Misto","573","Engenharia","6","Superior completo","Medicina","1","107","2","F","79","1","2","Engenheiro","4","Divorciado","5329","15717","7","1","Sim","12","3","4","80","3","17","3","3","13","11","1","9","Não","1_Training","Não","0.642108"
"34","Misto","1153","Engenharia","1","Superior incompleto","Medicina","1","110","1","M","94","3","2","Supervisor","2","Casado","4325","17736","1","1","Não","15","3","3","80","0","5","2","3","5","2","1","3","Não","1_Training","Não","0.523551"
"56","Misto","1400","Engenharia","7","Superior completo","Ciências das natureza","1","112","4","M","49","1","3","Supervisor","4","Solteiro","7260","21698","4","1","Não","11","3","1","80","0","37","3","2","6","4","0","2","Não","1_Training","Sim","0.659281"
"23","Misto","541","Vendas","2","Médio completo","Faculdade Técnica","1","113","3","M","62","3","1","Vendedor junior","1","Divorciado","2322","9518","3","1","Não","13","3","3","80","1","3","3","3","0","0","0","0","Não","1_Training","Sim","0.881022"
"51","Misto","432","Engenharia","9","Superior incompleto - cursando","Ciências das natureza","1","116","4","M","96","3","1","Tecnico","4","Casado","2075","18725","3","1","Não","23","4","2","80","2","10","4","3","4","2","0","3","Não","1_Training","Não","0.554242"
"30","Cliente","288","Engenharia","2","Superior completo","Ciências das natureza","1","117","3","M","99","2","2","Analista","4","Casado","4152","15830","1","1","Não","19","3","1","80","3","11","3","3","11","10","10","8","Não","1_Training","Não","0.605507"
"40","Misto","530","Engenharia","1","Superior incompleto - cursando","Ciências das natureza","1","119","3","M","78","2","4","Analista","2","Casado","13503","14115","1","1","Não","22","4","4","80","1","22","3","2","22","3","11","11","Não","2_Testing","Não","0.825328"
"51","Misto","632","Vendas","21","Superior incompleto - cursando","Marketing","1","120","3","M","71","3","2","Vendedo senior","4","Solteiro","5441","8423","0","1","Sim","22","4","4","80","0","11","2","1","10","7","1","0","Não","2_Testing","Sim","0.889218"
"30","Cliente","1334","Vendas","4","Superior incompleto","Medicina","1","121","3","F","63","2","2","Vendedo senior","2","Divorciado","5209","19760","1","1","Sim","12","3","2","80","3","11","4","2","11","8","2","7","Não","2_Testing","Sim","0.584307"
"46","Misto","638","Engenharia","1","Superior completo","Medicina","1","124","3","M","40","2","3","Analista","1","Casado","10673","3142","2","1","Sim","13","3","3","80","1","21","5","2","10","9","9","5","Não","2_Testing","Não","0.546615"
"32","Misto","1093","Vendas","6","Superior incompleto - cursando","Medicina","1","125","2","M","87","3","2","Vendedo senior","3","Solteiro","5010","24301","1","1","Não","16","3","1","80","0","12","0","3","11","8","5","7","Não","1_Training","Não","0.552665"
"54","Misto","1217","Engenharia","2","Superior incompleto - cursando","Faculdade Técnica","1","126","1","F","60","3","3","Diretor","3","Casado","13549","24001","9","1","Não","12","3","1","80","1","16","5","1","4","3","0","3","Não","1_Training","Não","0.719469"
"24","Escritório","1353","Vendas","3","Superior incompleto","Outros","1","128","1","F","33","3","2","Vendedo senior","3","Casado","4999","17519","0","1","Não","21","4","1","80","1","4","2","2","3","2","0","2","Não","1_Training","Não","0.759095"
"28","Misto","120","Vendas","4","Superior completo","Medicina","1","129","2","M","43","3","2","Vendedo senior","3","Casado","4221","8863","1","1","Não","15","3","2","80","0","5","3","4","5","4","0","4","Não","2_Testing","Não","0.663216"
"58","Escritório","682","Vendas","10","Superior incompleto - cursando","Medicina","1","131","4","M","37","3","4","Vendedo senior","3","Solteiro","13872","24409","0","1","Não","13","3","3","80","0","38","1","2","37","10","1","8","Não","1_Training","Não","0.502806"
"44","Misto","489","Engenharia","23","Superior completo","Medicina","1","132","2","M","67","3","2","Tecnico","2","Casado","2042","25043","4","1","Não","12","3","3","80","1","17","3","4","3","2","1","2","Não","1_Training","Não","0.797907"
"32","Misto","827","Engenharia","1","Médio completo","Ciências das natureza","1","134","4","M","71","3","1","Engenheiro","1","Solteiro","2956","15178","1","1","Não","13","3","4","80","0","1","2","3","1","0","0","0","Não","1_Training","Sim","0.783699"
"34","Escritório","665","Engenharia","6","Superior incompleto - cursando","Outros","1","138","1","F","41","3","2","Engenheiro","3","Solteiro","4809","12482","1","1","Não","14","3","3","80","0","16","3","3","16","13","2","10","Não","2_Testing","Não","0.791064"
"37","Escritório","1040","Engenharia","2","Superior incompleto","Ciências das natureza","1","139","3","M","100","2","2","Analista","4","Divorciado","5163","15850","5","1","Não","14","3","4","80","1","17","2","4","1","0","0","0","Não","1_Training","Não","0.748492"
"59","Cliente","1420","RH","2","Superior incompleto - cursando","Ciências humanas","1","140","3","F","32","2","5","Gerente","4","Casado","18844","21922","9","1","Não","21","4","4","80","1","30","3","3","3","2","2","2","Não","1_Training","Não","0.95716"
"50","Misto","1115","Engenharia","1","Superior completo","Ciências das natureza","1","141","1","F","73","3","5","Diretor","2","Casado","18172","9755","3","1","Sim","19","3","1","80","0","28","1","2","8","3","0","7","Não","1_Training","Não","0.596129"
"25","Misto","1280","Engenharia","7","Médio completo","Medicina","1","143","4","M","64","2","1","Engenheiro","4","Casado","2889","26897","1","1","Não","11","3","3","80","2","2","2","3","2","2","2","1","Não","1_Training","Não","0.614048"
"22","Cliente","534","Engenharia","15","Superior completo","Medicina","1","144","2","F","59","3","1","Tecnico","4","Solteiro","2871","23785","1","1","Não","15","3","3","80","0","1","5","3","0","0","0","0","Não","1_Training","Sim","0.760739"
"51","Escritório","1456","Engenharia","1","Superior incompleto - cursando","Medicina","1","145","1","F","30","2","3","Analista","1","Solteiro","7484","25796","3","1","Não","20","4","3","80","0","23","1","2","13","12","12","8","Não","2_Testing","Não","0.616984"
"54","Misto","142","RH","26","Superior completo","Ciências humanas","1","148","4","F","30","4","4","Gerente","4","Solteiro","17328","13871","2","1","Sim","12","3","3","80","0","23","3","3","5","3","4","4","Não","1_Training","Não","0.611517"
"24","Misto","1127","Engenharia","18","Médio completo","Ciências das natureza","1","150","2","M","52","3","1","Tecnico","3","Casado","2774","13257","0","1","Não","12","3","3","80","1","6","2","3","5","3","1","2","Não","1_Training","Não","0.586923"
"34","Misto","1031","Engenharia","6","Superior incompleto - cursando","Ciências das natureza","1","151","3","F","45","2","2","Engenheiro","2","Divorciado","4505","15000","6","1","Não","15","3","3","80","1","12","3","3","1","0","0","0","Não","1_Training","Não","0.763275"
"37","Misto","1189","Vendas","3","Superior completo","Ciências das natureza","1","152","3","M","87","3","3","Vendedo senior","4","Solteiro","7428","14506","2","1","Não","12","3","1","80","0","12","3","3","5","3","1","3","Não","1_Training","Sim","0.557359"
"34","Cliente","1354","Engenharia","5","Superior completo","Medicina","1","153","3","F","45","2","3","Gerente","1","Solteiro","11631","5615","2","1","Não","12","3","4","80","0","14","6","3","11","10","5","8","Não","2_Testing","Não","0.789858"
"36","Misto","1467","Vendas","11","Superior incompleto","Faculdade Técnica","1","154","2","F","92","3","3","Vendedo senior","4","Casado","9738","22952","0","1","Não","14","3","3","80","1","10","6","3","9","7","2","8","Não","1_Training","Não","0.708332"
"36","Cliente","922","Engenharia","3","Superior incompleto","Ciências das natureza","1","155","1","F","39","3","1","Tecnico","4","Divorciado","2835","2561","5","1","Não","22","4","1","80","1","7","2","3","1","0","0","0","Não","1_Training","Não","0.583935"
"43","Cliente","394","Vendas","26","Superior incompleto","Ciências das natureza","1","158","3","M","92","3","4","Gerente","4","Casado","16959","19494","1","1","Sim","12","3","4","80","2","25","3","4","25","12","4","12","Não","1_Training","Não","0.575816"
"30","Escritório","1312","Engenharia","23","Superior completo","Ciências das natureza","1","159","1","M","96","1","1","Engenheiro","3","Divorciado","2613","22310","1","1","Não","25","4","3","80","3","10","2","2","10","7","0","9","Não","1_Training","Sim","0.563917"
"33","Misto","750","Vendas","22","Superior incompleto","Marketing","1","160","3","M","95","3","2","Vendedo senior","2","Casado","6146","15480","0","1","Não","13","3","1","80","1","8","2","4","7","7","0","7","Não","1_Training","Não","0.506585"
"51","Misto","684","Engenharia","6","Superior completo","Ciências das natureza","1","162","1","M","51","3","5","Diretor","3","Solteiro","19537","6462","7","1","Não","13","3","3","80","0","23","5","3","20","18","15","15","Não","1_Training","Não","0.760925"
"26","Misto","841","Engenharia","6","Superior completo","Outros","1","164","3","F","46","2","1","Engenheiro","2","Casado","2368","23300","1","1","Não","19","3","3","80","0","5","3","2","5","4","4","3","Não","1_Training","Não","0.679593"
"22","Misto","594","Engenharia","2","Médio completo","Faculdade Técnica","1","169","3","M","100","3","1","Tecnico","4","Casado","2523","19299","0","1","Não","14","3","3","80","1","3","2","3","2","1","2","1","Não","1_Training","Sim","0.678089"
"49","Cliente","470","Engenharia","20","Superior incompleto - cursando","Medicina","1","170","3","F","96","3","2","Supervisor","1","Casado","6567","5549","1","1","Não","14","3","3","80","0","16","2","2","15","11","5","11","Não","1_Training","Não","0.502298"
"43","Cliente","957","Engenharia","28","Superior completo","Medicina","1","171","2","F","72","4","1","Engenheiro","3","Solteiro","4739","16090","4","1","Não","12","3","4","80","0","18","2","3","3","2","1","2","Não","1_Training","Não","0.699912"
"50","Misto","809","Vendas","12","Superior completo","Marketing","1","174","3","F","77","3","3","Vendedo senior","4","Solteiro","9208","6645","4","1","Não","11","3","4","80","0","16","3","3","2","2","2","1","Não","1_Training","Sim","0.726465"
"41","Misto","802","Vendas","9","Médio completo","Ciências das natureza","1","176","3","M","96","3","3","Vendedo senior","3","Divorciado","8189","21196","3","1","Sim","13","3","3","80","1","12","2","3","9","7","0","7","Não","2_Testing","Sim","0.632222"
"26","Misto","1355","RH","25","Médio completo","Ciências das natureza","1","177","3","F","61","3","1","Assistente","3","Casado","2942","8916","1","1","Não","23","4","4","80","1","8","3","3","8","7","5","7","Não","1_Training","Não","0.71923"
"36","Misto","216","Engenharia","6","Superior incompleto","Medicina","1","178","2","M","84","3","2","Supervisor","2","Divorciado","4941","2819","6","1","Não","20","4","4","80","2","7","0","3","3","2","0","1","Não","1_Training","Não","0.885557"
"39","Misto","1329","Vendas","4","Superior incompleto - cursando","Ciências das natureza","1","182","4","F","47","2","2","Vendedo senior","3","Casado","5902","14590","4","1","Não","14","3","3","80","1","17","1","4","15","11","5","9","Não","2_Testing","Não","0.906152"
"25","Misto","959","Vendas","28","Superior completo","Ciências das natureza","1","183","1","M","41","2","2","Vendedo senior","3","Casado","8639","24835","2","1","Não","18","3","4","80","0","6","3","3","2","2","2","2","Não","1_Training","Sim","0.679751"
"30","Misto","1240","RH","9","Superior completo","Ciências humanas","1","184","3","M","48","3","2","Assistente","4","Casado","6347","13982","0","1","Sim","19","3","4","80","0","12","2","1","11","9","4","7","Não","1_Training","Sim","0.670366"
"45","Misto","1316","Engenharia","29","Superior completo","Medicina","1","192","3","M","83","3","1","Engenheiro","4","Solteiro","3452","9752","5","1","Não","13","3","2","80","0","9","2","2","6","5","0","3","Não","2_Testing","Não","0.593784"
